Run!	Chạy!
Life isn't easy.	Cuộc sống không dễ dàng gì.
Life's not fair.	Cuộc đời không công bằng.
Merry Christmas!	Chúc mừng giáng sinh!
Open your mouth!	Mở miệng ra!
She is a doctor.	Cô ấy là bác sĩ.
She is too weak.	Nó yếu quá.
She is too weak.	Cô ấy quá yếu.
She is too weak.	Bà ấy yếu quá.
That is his car.	Đó là xe của anh ta.
There's so much.	Thế là quá nhiều.
They'll help us.	Họ sẽ giúp bọn mình
This car is his.	Chiếc xe này là của ổng.
This car is his.	Chiếc xe này là của ông ta.
This car is his.	Chiếc xe này là của ông ấy.
This car is his.	Chiếc xe này là của hắn.
This car is his.	Chiếc xe này là của anh ấy.
This is my room.	Đây là phòng của tôi.
Those are Tom's.	Mấy thứ đó của Tom.
Tom followed me.	Tom đã đi theo tôi.
Tom is a writer.	Tom là nhà văn.
Tom is too late.	Tom quá trễ rồi.
Tom is your age.	Tom cũng bằng tuổi cậu.
Tom isn't naive.	Tom không ngây thơ.
Tom made a deal.	Tom đã đạt được một thỏa thuận.
Tom was adopted.	Tom đã được nhận nuôi.
Tom was in pain.	Tôm bị đau.
Tom was my boss.	Tom từng là sếp của tôi.
Tom was stunned.	Tom đã bị choáng.
Tom was unlucky.	Tom đã không may mắn.
Wasn't it awful?	Không phải nó kinh khủng lắm ư?
We are teachers.	chúng tôi là giáo viên.
We came to help.	Chúng tôi đến để giúp.
We met a writer.	Chúng tôi đã gặp một ông nhà văn.
We walked a lot.	Chúng tôi đã đi bộ rất nhiều.
You look stupid.	Bạn nhìn ngốc quá.
You'll like Tom.	Mày sẽ thích Tom.
You're a nobody.	Bạn chẳng là ai cả.
Are they serious?	Họ có nghiêm túc không?
Can you help Tom?	Bạn có thể giúp Tom không?
Don't be so glum.	Đừng có rầu rĩ quá như thế.
Get off the lawn!	Không được giẫm lên cỏ.
Get off the lawn!	Bước ra khỏi bãi cỏ.
Have a safe trip.	Thượng lộ bình an.
Have a safe trip.	Có một chuyến đi an toàn nhé.
He hates carrots.	Nó ghét cà rốt.
He hates carrots.	Ông ta ghét cà rốt.
He hates carrots.	Hắn ghét cà rốt.
He's always busy.	Anh ta luôn bận rộn.
Hmm, what's this?	Hừm, cái gì đây?
Hold that for me.	Cầm nó hộ mình.
Hold that for me.	Giữ nó cho mình.
How tall you are!	Bạn cao thiệt!
I don't like you.	Tôi không thích anh đâu.
I feel just fine.	Tôi cảm thấy bình thường.
I feel very cold.	Tôi cảm thấy rất lạnh.
I have some time.	Có có một ít thời gian.
I have two books.	Tôi có 2 quyển sách.
I have two books.	Tao có 2 quyển sách.
I have two books.	Tôi có hai cuốn sách.
I like to travel.	Tôi thích đi du lịch.
I love astronomy.	Tôi yêu thích thiên văn học.
I need more time.	Tôi cần thêm thì giờ.
I wrote the book.	Tôi đã viết cuốn sách.
I'm a journalist.	Tôi là nhà báo.
I'm by your side.	Tôi ủng hộ bạn.
I'm going to run.	Tớ chuẩn bị chạy.
I'm in pain here.	Tôi bị đau ở chỗ này.
I'm not a doctor.	Tôi không phải là bác sĩ.
Is that the plan?	Kế hoạch đấy à?
It might explode.	Nó có thể nổ.
It's kind of hot.	Nó khá nóng đấy.
Let's have a try.	Thử xem nào.
My eyes are sore.	Mắt tôi đang bị đau.
My place is here.	Chỗ của tôi ở đây.
My place is here.	Chỗ của tao ở đây.
Put the box down.	Đặt cái hộp xuống.
She seems OK now.	Hiện tại nó có vẻ ổn.
She seems OK now.	Hiện tại cô ta có vẻ ổn.
She seems OK now.	Hiện tại cô ấy có vẻ ổn.
She seems OK now.	Hiện tại chị ấy có vẻ ổn.
She seems OK now.	Hiện tại bà ấy có vẻ ổn.
The battery died.	Pin chết.
They arrested me.	Họ bắt tôi.
This doesn't fit.	Cái này không vừa.
This will be fun.	Sẽ vui đây.
We can do better.	Chúng ta có thể làm tốt hơn.
We can do better.	Chúng tôi có thể làm tốt hơn.
We can't give up.	Chúng ta không thể bỏ cuộc.
We can't give up.	Chúng ta không thể từ bỏ.
We used to fight.	Chúng tôi từng đánh nhau.
We used to fight.	Chúng tôi từng đối đầu nhau.
We used to fight.	Chúng tôi từng cãi nhau.
What's your name?	Tên bạn là gì?
Where can I park?	Đậu xe ở đâu vậy?
Where is my comb?	Lược của tôi đâu rồi?
Where is the dog?	Chó đâu rồi?
Where is the dog?	Con chó đâu rồi?
Where is the dog?	Chó mô rồi?
Where's your dog?	Con chó của cậu đâu rồi?
Whose turn is it?	Đến lượt ai đây?
Whose turn is it?	Bây giờ đến lượt ai?
You made Tom cry.	Tôi khiến Tom khóc.
You'll regret it.	Bạn sẽ hối hận về điều đó.
A storm is coming.	Một cơn bão sắp đến.
Am I under arrest?	Tôi bị bắt à?
Are you in a rush?	Bạn đang vội à?
Aren't you hungry?	Cậu không đói sao?
Come on, admit it.	Thôi nào, thừa nhận đi.
Come on, hurry up.	Thôi nào, nhanh lên đi.
Did Tom know Mary?	Tom có quen Mary không?
Did Tom need help?	Tom có cần giúp đỡ không?
Do you have a car?	Bạn có ô tô không?
Don't be childish.	Đừng có trẻ con như vậy.
He arrived safely.	Anh ấy đã đến nơi an toàn.
He pushed past me.	Anh ta đẩy qua tôi.
Hold that thought.	Dừng lại đây đã.
How's your father?	Ba của bạn sao rồi?
I agreed with Tom.	Tôi đồng tình với Tom.
I am eating fruit.	Tôi đang ăn hoa quả.
I can't do it now.	Tôi không thể thực hiện nó lúc này.
I don't eat bread.	Tôi không ăn bánh mì.
I have a headache.	Tôi bị nhức đầu.
I have some gifts.	Tôi có vài món quà.
I know how to ski.	Tôi biết trượt tuyết.
I like being busy.	Tôi thích bận rộn.
I like your beard.	Tôi thích bộ râu của bạn.
I must leave here.	Tôi phải rời khỏi đây.
I really like him.	Tôi thực sự thích anh ta.
I really like him.	Tôi thực sự thích cậu ta.
I said I'll do it.	Tôi đã nói là tôi sẽ làm mà.
I went to the zoo.	Tôi đã tới vườn thú.
I'll come at once.	Tôi sẽ đến một lần.
I'm going to swim.	Tôi sẽ đi bơi.
Is there a reward?	Có phần thưởng hay không?
Is this a problem?	Đây có phải vấn đề không?
It makes no sense.	Nó chẳng có ý nghĩa gì cả.
It's an old piano.	Đó là một chiếc đàn piano cũ.
It's easy for Tom.	Với Tom nó chỉ là chuyện nhỏ.
It's gotten worse.	Tình hình bắt đầu trở nên tồi tệ.
It's part of life.	Nó là một phần của cuộc sống.
It's time for bed.	Đã đến giờ đi ngủ.
Keep your hair on!	Giữ tóc của bạn ở đó!
Let's not do that.	Đừng làm điều đó.
Please be serious.	Làm ơn nghiêm túc đi.
She likes to read.	Cô ấy thích đọc sách báo.
She sells flowers.	Cô ta bán hoa.
Sign here, please.	Vui lòng ký vào đây.
Thanks a lot, Tom.	Cám ơn Tom rất nhiều.
That can't happen.	Không thể có chuyện đó.
That girl is Mary.	Cô gái kia là Mary.
That's all I have.	Đó là tất cả những gì mà tôi có.
The sun is rising.	Mặt trời đang lên.
They haven't left.	Họ chưa đi.
They were married.	Chúng nó cưới nhau rồi.
This dog is white.	Con chó này màu trắng.
Tom had no hat on.	Tom không đội mũ
Tom is my brother.	Tom là anh trai của tôi.
Tom is my brother.	Tom là em trai của tôi.
Tom is recovering.	Tom đang dần hồi phục.
Tom wants to swim.	Tom muốn đi bơi.
Tom was depressed.	Tom đã bị chán nản.
We don't know why.	Tôi không biết tại sao.
We gave them food.	Chúng tôi cho họ đồ ăn.
We gave them food.	Chúng tôi tặng họ thức ăn.
We know this song.	Tụi tao biết bài hát này.
We know this song.	Chúng tôi biết bài hát này.
We'll let Tom try.	Để Tom thử đi.
We're all excited.	Chúng tôi đều rất hứng thú.
What did you make?	Bạn đã tạo ra cái gì rồi ?
What'll we do now?	Chúng ta sẽ làm gì bây giờ?
Where do you live?	Bạn sống ở đâu?
You are beautiful.	Bạn đẹp quá.
You could help me.	Bạn có thể giúp tôi.
You should try it.	Bạn nên thử nó.
You shouldn't lie.	Cậu không nên nói dối.
You two stay here.	Hai người ở lại đây.
A cat has two ears.	Con mèo có hai cái tai.
Are you blaming me?	Anh đổ lỗi cho tôi ư?
Are you busy today?	Hôm nay ban có rãnh không?
Are you happy here?	Ở đây bạn có hạnh phúc?
Do you want to eat?	Đi ăn không?
Does Tom know Mary?	Tom có biết Mary không?
Does he like China?	Anh ta có thích Trung Quốc không?
Get over here, Tom.	Qua bên này đi Tom.
He won't like this.	Nó sẽ không thích cái này.
He won't like this.	Anh ấy sẽ không thích cái này.
He won't like this.	Nó sẽ không ưa cái này.
He won't like this.	Ông ta sẽ không ưa cái này.
He won't like this.	Nó sẽ không thích điều này.
He won't like this.	Nó sẽ không thích việc này.
He's a patient man.	Anh ấy là một người kiên trì.
Here comes the bus!	Xe buýt đến rồi.
I can't believe it!	Tôi không tin!
I can't believe it.	Tôi không thể tin được.
I don't need a bed.	Tôi không cần giường.
I don't understand.	Tôi không hiểu.
I dreamt about you.	Tôi mơ đến bạn.
I dropped my apple.	Tôi đã đánh rơi quả táo của mình.
I give you my word.	Tôi hứa.
I got Tom to do it.	Tôi bảo Tom làm rồi.
I have to see this.	Tôi phải nhìn thấy nó
I hope you like it.	Hy vọng bạn thích nó.
I loved that house.	Tôi yêu căn nhà đó.
I need your advice.	Tôi cần lời chỉ bảo của bạn.
I walked to school.	Tôi đi bộ đến trường.
I walked to school.	Tôi đi bộ tới trường.
I was playing here.	Tôi đã chơi ở đây.
I'm not illiterate.	Tôi không phải người mù chữ.
I'm not your enemy.	Tôi không phải là kẻ thù.
I'm still in shock.	Tôi vẫn đang bị sốc.
I'm writing a book.	Tôi đang viết một cuốn sách.
I'm your assistant.	Tôi là trợ lý của bạn.
Is Tom unconscious?	Tom có tỉnh không?
It'll be all right.	Sẽ ổn thôi.
It's a lovely idea.	Một ý tưởng đáng yêu.
My father grew old.	Cha của tôi già đi.
She is always busy.	Chị ấy lúc nào cũng rất bận.
She is really cute.	Cô ấy thực sự dễ thương.
Take a sip of this.	Hãy nhấp thử một ngụm.
Take a sip of this.	Nhấp thử một ngụm đi.
That is intriguing.	Cái đó nhìn hấp dẫn.
They're not hungry.	Họ không đói.
This is remarkable.	Điều này thật đáng chú ý.
Tom agreed to help.	Tom đã đồng ý giúp đỡ.
Tom almost drowned.	Tom suýt (mém) bị đuối nước.
Tom can barely see.	Tom hầu như không nhìn thấy gì.
Tom does good work.	Tom làm việc tốt.
Tom is a socialist.	Tom là một người chủ nghĩa xã hội.
Tom lost his phone.	Tom đánh mất điện thoại.
Tom stayed with me.	Tom ở lại với tôi.
Tom was frightened.	Tom đã rất hoảng sợ.
Tom was not famous.	Tom không nổi tiếng.
Tom's gun misfired.	Khẩu súng của Tom bị cướp cò.
Tomorrow is Sunday.	Ngày mai là Chủ nhật.
We gave it to them.	Bọn tớ đưa nó cho họ.
We were very tired.	Chúng tôi đã rất mệt mõi.
We'll wait outside.	Chúng ta sẽ chờ ở ngoài.
We'll wait outside.	Tụi tao sẽ chờ ở ngoài.
We're going inside.	Chúng tôi đang đi vào trong.
What did you drink?	Cậu đã uống gì?
What's there to do?	Có việc gì ở đó để làm?
Which cup is yours?	Tách nào của bạn?
Which cup is yours?	Cái tách nào là của bạn?
Whose beer is this?	Bia của ai đây?
You can talk to me.	Anh có thể nói với tôi.
You can use my car.	Bạn có thể dùng xe hơi của tôi.
You got very drunk.	Bạn say quá rồi.
You must be joking.	Chắc là bạn đang đùa.
You only live once.	Mày chỉ sống được một lần.
You should ask Tom.	Bạn nên hỏi Tom.
You're a smart boy.	Bạn là một chàng trai thông minh.
You're just a girl.	Bạn chỉ là một cô gái.
"Trust me," he said.	"Tin tôi đi," anh ấy nói.
All I have is books.	Tất cả những gì tôi có là sách vở.
Are you in pain now?	Hiện giờ bạn có đau không?
Can I have a moment?	Cho tôi chút thời gian được không?
Complaints are rare.	Rất hiếm lời phàn nàn.
Did you read it all?	Anh đã đọc hết nó rồi à?
Did you read it all?	Anh đã đọc hết quyển đó rồi à?
Do whatever you can.	Làm bất cứ điều gì mà bạn có thể.
Do you like cooking?	Bạn có thích nấu ăn không?
Excuse me, I'm lost.	Tôi xin lỗi, tôi bị lạc đường.
Freedom is not free.	Tự do không đồng nghĩa với được tự do.
He died a sad death.	Ông ta kết thúc cuộc đời một cách buồn thảm.
He entered the army.	Anh ta gia nhập quân đội.
He has many friends.	Anh ấy có nhiều bạn.
He lives by himself.	Nó tự nuôi sống bản thân.
He lives by himself.	Nó sống với chính nó.
He lives by himself.	Nó sống một mình.
He lives in comfort.	Anh ta sống trong nhung lụa.
He never tells lies.	Nó không bao giờ nói láo.
He never tells lies.	Nó không bao giờ nói xạo.
I can't do that now.	Giờ tôi chưa thể làm được.
I didn't betray you.	Tôi không phản bội cậu.
I do not understand.	Tôi không hiểu.
I feel very relaxed.	Tôi thấy rất thư giãn.
I got that from Tom.	Tôi nhận được cái đó từ Tom
I had to arrest Tom.	Tôi đã phải bắt giữ Tom.
I lost sight of Tom.	Tôi đã mất dấu Tom.
I make €100 a day.	Tôi kiếm được 100 euro một ngày.
I need a translator.	Tôi cần một người dịch.
I need a translator.	Tôi cần một thông dịch viên.
I need to sleep now.	Tớ đi ngủ đây.
I need you to leave.	Tôi cần bạn rời khỏi đây.
I only used it once.	Tôi chỉ sử dụng nó một lần.
I opened the window.	Tôi đã mở cửa sổ.
I picked up the cat.	Tôi đã nhặt con mèo lên.
I really have to go.	Tôi thực sự phải đi.
I want Tom arrested.	Tôi muốn Tom bị bắt.
I will go to school.	Tôi sẽ đi học.
I won't pay for Tom.	Tôi sẽ không trả tiền cho Tom.
I'd help if I could.	Em sẽ giúp nếu có thể.
I'm a tennis player.	Tôi là người chơi ten-nít.
I'm eating rice now.	Tôi đang ăn cơm.
I'm glad I can help.	Rất vui vì tôi có thể giúp.
I'm taller than Tom.	Tôi cao hơn Tom.
I've seen it myself.	Tôi từng tận mắt thấy nó.
Is everyone waiting?	Mọi người đang chờ à?
Is everyone waiting?	Mọi người đang đợi à?
Is that good or bad?	Cái đó tốt hay xấu?
Keep away from that.	Tránh xa chỗ đó ra.
Keep away from that.	Tránh xa nơi đó.
Keep away from that.	Tránh xa nơi đó ra.
Mom is always right.	Mẹ luôn luôn đúng.
My hobby is reading.	Sở thích của tôi là đọc sách.
She is very healthy.	Cô ấy rất khoẻ mạnh.
She won't like this.	Nó sẽ không thích việc này.
She won't like this.	Cô ấy sẽ không thích điều này.
She won't like this.	Cô ấy sẽ không thích cái này.
She won't like this.	Cô ấy sẽ không thích việc này.
She's a real hottie.	Cô ấy thực sự là một cô gái xinh đẹp.
That boy is running.	Cậu bé ở đằng kia đang chạy.
That's a good price.	Giá tốt đấy.
That's why Tom came.	Đó là lý do Tom đến.
The fire alarm rang.	Chuông báo cháy vang lên.
These are wonderful.	Thật tuyệt vời
They should know it.	Họ nên biết nó chứ.
This table is heavy.	Cái bàn này nặng quá.
Tom grabbed a chair.	Tom đã cầm lấy cái ghế.
Tom is a good pilot.	Tom là một phi công giỏi.
Tom is a good pilot.	Tom là một hoa tiêu giỏi.
Tom is an adult now.	Bây giờ Tom là người lớn.
Tom is my colleague.	Tom là đồng nghiệp của tôi.
Tom made his choice.	Tom đã đưa ra sự lựa chọn.
Tom may not be dead.	Có lẽ Tom chưa chết.
Tom opened the gate.	Tom đã mở cổng.
Tom opened the safe.	Tom mở cửa két sắt.
Tom started packing.	Tom bắt đầu đóng gói đồ đạc.
Tom was on the list.	Tom đã có tên trên danh sách.
Tom will never know.	Tôm sẽ không bao giờ biết.
We all have changed.	Chúng ta đều đã thay đổi.
We reached our goal.	Chúng tôi đã giành được thắng lợi.
We'll make the time.	Mình sẽ dành thời gian.
We're not strangers.	Chúng tôi không phải là người lạ.
We're out of butter.	Chúng ta đã hết bơ.
We're out of butter.	Chúng ta hết bơ rồi.
What street is this?	Đây là đường gì?
What's the time now?	Bây giờ là mấy giờ rồi?
When did Tom return?	Tom về khi nào thế?
Where are they from?	Họ từ đâu đến?
Who broke the plate?	Ai làm vỡ cái đĩa?
Who is that old man?	Ông già kia là ai vậy?
Who stole the apple?	Ai ăn cắp quả tào?
Why are you so ugly?	Sao mày xấu thế?
Why are you so ugly?	Sao mày xấu quá vậy?
Why are you so ugly?	Sao bạn xấu quá?
Why did Tom kiss me?	Sao Tom lại hôn tôi?
Why did Tom kiss me?	Tại sao Tom hôn tôi?
Will you cut it out?	Bạn sẽ cắt giảm chứ?
You're a loser, too.	Bạn cũng thua rồi.
You're a loser, too.	Mày cũng thua rồi.
Are you still scared?	Bạn vẫn còn sợ à?
Can I take your bags?	Tôi mang túi hộ bạn nhé?
Can I take your bags?	Tôi mang giỏ dùm bạn nhé?
Can you explain that?	Bạn có thể giải thích điều đó không?
Do they have weapons?	Họ có vũ khí không?
Do you know who I am?	Bạn có biết tôi là ai không?
Do you need our help?	Bạn có cần chúng tôi giúp không?
Don't brake suddenly.	Đừng phanh đột ngột.
Give me those gloves.	Đưa cho tôi đôi găng tay đó.
Give that back to me.	Trả cái đó lại cho tôi.
Have a drink with me.	Uống một ly với tôi.
He is five feet tall.	Anh ta cao mét rưỡi.
He is making cookies.	Anh ta đang làm bánh quy.
How much is the rent?	Tiền thuê giá bao nhiêu?
I am not leaving you.	Tôi không bỏ bạn mà đi đâu.
I am sure of success.	Tôi chắc chắn sẽ thành công.
I broke your ashtray.	Tôi đã làm vỡ đồ gạt tàn của bạn rồi.
I broke your ashtray.	Tao đã làm bể đồ gạt tàn thuốc của mày rồi.
I can ride a bicycle.	Tôi chạy xe đạp
I can't see anything.	Tôi không nhìn được gì.
I did not understand.	Tôi không hiểu.
I have a few friends.	Tớ có một vài người bạn.
I have no more ideas.	Tôi không có thêm ý tưởng nào nữa.
I know Tom very well.	Tôi biết Tom rất rõ.
I met Tom on the way.	Tôi đã gặp Tom ở trên đường.
I think Tom is obese.	Tom nghĩ Tom bị thừa cân.
I want an MP3 player!	Tôi muốn có máy MP3!
I wanted to say more.	Mình vẫn muốn nói tiếp.
I will give it a try.	Tôi sẽ thử xem sao.
I won't go to school.	Tôi sẽ không đi học.
I'll be very careful.	Tôi sẽ cực kỳ cẩn thận.
I'm Tom's supervisor.	Tôi là người giám sát Tom.
I'm an eighth grader.	Tôi đang học lớp tám.
I'm depending on you.	Tôi trông cậy vào bạn.
I'm good with people.	Tôi có khả năng tương tác xã hội tốt.
I'm happy to be here.	Tôi hạnh phúc khi ở đây.
I'm not used to this.	Tôi không quen với điều này.
I'm sorry to hear it.	Tôi rất tiếc khi nghe chuyện này.
It is already eleven.	Đã mười một giờ rồi.
It looks really nice.	Nó trông thật đẹp.
It was still raining.	Lúc ấy trời vẫn còn mưa.
It's a monster storm.	Nó là một cơn bão khủng khiếp.
It's a scalp disease.	Đó là một bệnh về da đầu
It's all over for us.	Với chúng tôi tất cả đã kết thúc.
It's my CD, isn't it?	Đó là cái CD của tôi phải không?
It's not a good idea.	Đó không phải là ý hay.
Let's get some sleep.	Hãy đi ngủ một chút.
Mary is Tom's sister.	Mary không phải chị của Tom.
Mary is Tom's sister.	Mary không phải là chị của Tom.
No one's blaming you.	Không ai trách em cả.
Please do not forget.	Xin đừng quên.
Please telephone him.	Xin hãy gọi điện cho ổng.
She's as busy as Tom.	Cô ấy cũng bận bịu như Tom vậy.
Take it away, please.	Làm ơn mang nó đi giúp tôi.
The boy became happy.	Thằng nhóc vui hẳn lên.
The coat is not mine.	Cái áo không phải của tôi.
The ground seems wet.	Mặt đất dường như ẩm ướt.
The moon's so bright.	Mặt trăng sáng quá.
The old man sat down.	Ông già ngồi xuống.
The old man sat down.	Lão già ngồi xuống.
These aren't for you.	Những thứ này không phải cho cậu.
These books are mine.	Những quyển sách này là của tôi.
They are vegetarians.	Tụi nó là những người ăn chay.
They stopped to talk.	Họ dừng lại để nói chuyện.
This apple is rotten.	Trái táo này bị hư rồi.
This will cost €30.	Cái này sẽ tốn €30.
This will cost €30.	Việc này sẽ tốn €30.
This will cost €30.	Thứ này sẽ tốn €30.
Tom checked the list.	Tom kiểm tra danh sách.
Tom deserves to know.	Tom đáng được biết.
Tom didn't invite me.	Tom đã không mời tôi.
Tom doesn't eat meat.	Tom không ăn thịt.
Tom has a good point.	Tom được một con điểm tốt.
Tom is a new student.	Tom là sinh viên mới.
Tom must be so proud.	Tom phải thấy rất tự hào.
Tom seems to be busy.	Tom trông có vẻ bận rộn.
Tom's a very bad guy.	Tom là một gã rất tệ.
Try to understand me.	Cố gắng hiểu tôi à?
We always take a bus.	Chúng tôi luôn đi bằng xe buýt.
We need to think big.	Bọn mình cần nghĩ lớn hơn.
We're sorry about it.	Chúng tôi hết sức xin lỗi về chuyện đã xảy ra.
We're sorry about it.	Chúng tôi rất tiếc về việc đã xảy ra.
What do you want now?	Bạn muốn gì nào?
What do you want now?	Bây giờ anh muốn cái gì?
What do you want now?	Bây giờ mày muốn cái gì?
What do you want now?	Bây giờ chị muốn cái gì?
What do you wish for?	Bạn ước điều gì vậy?
What he said is true.	Những điều anh ta nói đều là sự thật.
What scares you most?	Điều gì khiến bạn sợ nhất?
Where can I buy silk?	Tôi có thể mua tơ lụa ở đâu?
